2021-12-01 16:18:55,618 - SimpleYolov5 - INFO - 
====================================================================== Model Summary ======================================================================
Model Summary:	layers 288; parameters 7276605; gradients 7276605; flops 4.265007GFLOPs
====================================================================== Training ======================================================================

2021-12-01 16:18:55,618 - SimpleYolov5 - INFO -   all_mem(G)     cac_mem(G)        epoch          step          batchsz       img_shape      tot_loss       reg_loss       cof_loss       cls_loss      use_time(s)      tar_num      model_saved  
2021-12-01 16:21:26,089 - SimpleYolov5 - INFO -      0.14           0.83             2             189             4             640          1.42609        0.11958        0.08157        0.15537        1.3e-01          281            yes      
2021-12-01 16:21:29,731 - SimpleYolov5 - INFO -      0.14           0.83             2             194             4             640          1.42603        0.11959        0.08136        0.15555        1.3e-01          383            yes      
2021-12-01 16:21:33,489 - SimpleYolov5 - INFO -      0.14           0.83             2             199             4             640          1.42344        0.11954        0.08151        0.15481        1.3e-01         1048            yes      
2021-12-01 16:21:37,325 - SimpleYolov5 - INFO -      0.14           0.83             2             204             4             640          1.42383        0.11961        0.08130        0.15505        1.3e-01          246            yes      
2021-12-01 16:21:41,259 - SimpleYolov5 - INFO -      0.14           0.83             2             209             4             640          1.42343        0.11965        0.08127        0.15494        1.3e-01          792            no       
2021-12-01 16:21:45,059 - SimpleYolov5 - INFO -      0.14           0.83             2             214             4             640          1.42157        0.11960        0.08148        0.15431        1.3e-01          581            yes      
2021-12-01 16:21:49,517 - SimpleYolov5 - INFO -      0.14           0.83             2             219             4             640          1.42311        0.11961        0.08141        0.15476        1.3e-01          699            yes      
2021-12-01 16:21:53,209 - SimpleYolov5 - INFO -      0.14           0.83             2             224             4             640          1.42571        0.11965        0.08170        0.15508        1.3e-01         1116            no       
2021-12-01 16:21:56,866 - SimpleYolov5 - INFO -      0.14           0.83             2             229             4             640          1.42814        0.11971        0.08151        0.15582        1.3e-01          488            no       
2021-12-01 16:22:00,673 - SimpleYolov5 - INFO -      0.14           0.83             2             234             4             640          1.42775        0.11965        0.08174        0.15555        1.3e-01          777            yes      
2021-12-01 16:22:04,436 - SimpleYolov5 - INFO -      0.14           0.83             2             239             4             640          1.43143        0.11969        0.08192        0.15625        1.3e-01          893            no       
2021-12-01 16:22:08,983 - SimpleYolov5 - INFO -      0.14           0.83             2             244             4             640          1.43224        0.11966        0.08186        0.15654        1.3e-01          415            no       
2021-12-01 16:22:12,795 - SimpleYolov5 - INFO -      0.14           0.83             2             249             4             640          1.43148        0.11964        0.08187        0.15636        1.3e-01          369            yes      
2021-12-01 16:22:16,790 - SimpleYolov5 - INFO -      0.14           0.83             2             254             4             640          1.43180        0.11970        0.08183        0.15642        1.3e-01          795            no       
2021-12-01 16:22:20,638 - SimpleYolov5 - INFO -      0.14           0.83             2             259             4             640          1.42939        0.11967        0.08167        0.15601        1.3e-01          478            yes      
2021-12-01 16:22:24,780 - SimpleYolov5 - INFO -      0.14           0.83             2             264             4             640          1.42814        0.11968        0.08157        0.15578        1.3e-01          685            yes      
2021-12-01 16:22:28,519 - SimpleYolov5 - INFO -      0.14           0.83             2             269             4             640          1.42796        0.11965        0.08136        0.15597        1.3e-01          599            no       
2021-12-01 16:22:32,239 - SimpleYolov5 - INFO -      0.14           0.83             2             274             4             640          1.42597        0.11962        0.08118        0.15570        1.3e-01          600            yes      
2021-12-01 16:22:36,107 - SimpleYolov5 - INFO -      0.14           0.83             2             279             4             640          1.42662        0.11965        0.08121        0.15579        1.3e-01          890            no       
2021-12-01 16:22:39,956 - SimpleYolov5 - INFO -      0.14           0.83             2             284             4             640          1.42672        0.11972        0.08129        0.15567        1.3e-01         1092            no       
2021-12-01 16:22:43,697 - SimpleYolov5 - INFO -      0.14           0.83             2             289             4             640          1.42848        0.11974        0.08114        0.15624        1.3e-01          287            no       
2021-12-01 16:22:47,484 - SimpleYolov5 - INFO -      0.14           0.83             2             294             4             640          1.42821        0.11973        0.08110        0.15622        1.3e-01          687            yes      
